Year,Balancing_Cost_JPY_kWh,FIP_Premium_JPY_kWh,Sell_Price_JPY_kWh,Generation_kWh,Revenue_JPY
1,2.0,29.560382963681548,43.56038296368155,1068952.0,46563958.489793316
2,1.8,29.36038296368155,43.360382963681545,1064676.192,46164767.41743414
3,1.6,29.16038296368155,43.16038296368155,1060417.487232,45768024.850318015
4,1.4,28.960382963681546,42.960382963681546,1056175.817283072,45373717.58746012
5,1.3,28.86038296368155,42.860382963681545,1051951.1140139399,45087027.60570889
6,1.3,28.86038296368155,42.860382963681545,1047743.3095578841,44906679.495286055
7,1.3,28.86038296368155,42.860382963681545,1043552.3363196526,44727052.77730491
8,1.3,28.86038296368155,42.860382963681545,1039378.126974374,44548144.5661957
9,1.3,28.86038296368155,42.860382963681545,1035220.6144664766,44369951.987930916
10,1.3,28.86038296368155,42.860382963681545,1031079.7320086107,44192472.17997919
11,0.3,27.86038296368155,41.860382963681545,1026955.4130805763,42988746.8781787
12,0.3,27.86038296368155,16.321698580306798,1022847.591428254,16694610.080884762
13,0.3,27.86038296368155,14.0,1018756.201062541,14262586.814875573
14,0.3,27.86038296368155,14.0,1014681.1762582908,14205536.46761607
15,0.3,27.86038296368155,14.0,1010622.4515532576,14148714.321745608
16,0.3,27.86038296368155,14.0,1006579.9617470446,14092119.464458624
17,0.3,27.86038296368155,14.0,1002553.6419000564,14035750.98660079
18,0.3,27.86038296368155,14.0,998543.4273324561,13979607.982654385
19,0.3,27.86038296368155,14.0,994549.2536231263,13923689.550723769
20,0.3,27.86038296368155,14.0,990571.0566086338,13867994.792520873
