area,point,data_type,data_file_name
北海道(宗谷),宗谷岬,平均年,mea11001.txt
北海道(宗谷),宗谷岬,多照年,max11001.txt
北海道(宗谷),宗谷岬,寡照年,min11001.txt
北海道(宗谷),稚内,平均年,mea11016.txt
北海道(宗谷),稚内,多照年,max11016.txt
北海道(宗谷),稚内,寡照年,min11016.txt
北海道(宗谷),礼文,平均年,mea11046.txt
北海道(宗谷),礼文,多照年,max11046.txt
北海道(宗谷),礼文,寡照年,min11046.txt
北海道(宗谷),浜鬼志別,平均年,mea11076.txt
北海道(宗谷),浜鬼志別,多照年,max11076.txt
北海道(宗谷),浜鬼志別,寡照年,min11076.txt
北海道(宗谷),沼川,平均年,mea11121.txt
北海道(宗谷),沼川,多照年,max11121.txt
北海道(宗谷),沼川,寡照年,min11121.txt
北海道(宗谷),沓形,平均年,mea11151.txt
北海道(宗谷),沓形,多照年,max11151.txt
北海道(宗谷),沓形,寡照年,min11151.txt
北海道(宗谷),豊富,平均年,mea11176.txt
北海道(宗谷),豊富,多照年,max11176.txt
北海道(宗谷),豊富,寡照年,min11176.txt
北海道(宗谷),浜頓別,平均年,mea11206.txt
北海道(宗谷),浜頓別,多照年,max11206.txt
北海道(宗谷),浜頓別,寡照年,min11206.txt
北海道(宗谷),中頓別,平均年,mea11276.txt
北海道(宗谷),中頓別,多照年,max11276.txt
北海道(宗谷),中頓別,寡照年,min11276.txt
北海道(宗谷),北見枝幸,平均年,mea11291.txt
北海道(宗谷),北見枝幸,多照年,max11291.txt
北海道(宗谷),北見枝幸,寡照年,min11291.txt
北海道(宗谷),歌登,平均年,mea11316.txt
北海道(宗谷),歌登,多照年,max11316.txt
北海道(宗谷),歌登,寡照年,min11316.txt
北海道(上川),中川,平均年,mea12011.txt
北海道(上川),中川,多照年,max12011.txt
北海道(上川),中川,寡照年,min12011.txt
北海道(上川),音威子府,平均年,mea12041.txt
北海道(上川),音威子府,多照年,max12041.txt
北海道(上川),音威子府,寡照年,min12041.txt
北海道(上川),美深,平均年,mea12141.txt
北海道(上川),美深,多照年,max12141.txt
北海道(上川),美深,寡照年,min12141.txt
北海道(上川),名寄,平均年,mea12181.txt
北海道(上川),名寄,多照年,max12181.txt
北海道(上川),名寄,寡照年,min12181.txt
北海道(上川),下川,平均年,mea12231.txt
北海道(上川),下川,多照年,max12231.txt
北海道(上川),下川,寡照年,min12231.txt
北海道(上川),士別,平均年,mea12261.txt
北海道(上川),士別,多照年,max12261.txt
北海道(上川),士別,寡照年,min12261.txt
北海道(上川),朝日,平均年,mea12266.txt
北海道(上川),朝日,多照年,max12266.txt
北海道(上川),朝日,寡照年,min12266.txt
北海道(上川),和寒,平均年,mea12301.txt
北海道(上川),和寒,多照年,max12301.txt
北海道(上川),和寒,寡照年,min12301.txt
北海道(上川),江丹別,平均年,mea12386.txt
北海道(上川),江丹別,多照年,max12386.txt
北海道(上川),江丹別,寡照年,min12386.txt
北海道(上川),比布,平均年,mea12396.txt
北海道(上川),比布,多照年,max12396.txt
北海道(上川),比布,寡照年,min12396.txt
北海道(上川),上川,平均年,mea12411.txt
